architecture,regime,seed,dataset,alpha_train,alpha_test,acc,loss
cnn,noisy,1,cifar10,0.5,0.02,0.6088,1.1177726057815551
cnn,noisy,1,cifar10,0.5,0.05,0.60774,1.118503869667053
cnn,noisy,1,cifar10,0.5,0.1,0.6074200000000001,1.1221801373291016
cnn,noisy,1,cifar10,0.5,0.2,0.6026999999999999,1.1383463719177247
cnn,noisy,2,cifar10,0.5,0.0,0.5997,1.1415079246520996
cnn,noisy,2,cifar10,0.5,0.01,0.59984,1.1413293827819824
cnn,noisy,2,cifar10,0.5,0.02,0.59948,1.142092957420349
cnn,noisy,2,cifar10,0.5,0.05,0.59896,1.1438738761901857
cnn,noisy,2,cifar10,0.5,0.1,0.5967,1.1476422582626342
cnn,noisy,2,cifar10,0.5,0.2,0.58786,1.1697434511756897
resnet18,clean,0,cifar10,0.5,0.0,0.7055,1.0791691591262818
resnet18,clean,0,cifar10,0.5,0.01,0.7051999999999999,1.080948120880127
resnet18,clean,0,cifar10,0.5,0.02,0.70436,1.079754827003479
resnet18,clean,0,cifar10,0.5,0.05,0.6970599999999999,1.1135243410682678
resnet18,clean,0,cifar10,0.5,0.1,0.66632,1.2519253161621093
resnet18,clean,0,cifar10,0.5,0.2,0.6502,1.2921155278778076
resnet18,clean,1,cifar10,0.5,0.0,0.71,1.0593070495605468
resnet18,clean,1,cifar10,0.5,0.01,0.7094,1.0627130610656739
resnet18,clean,1,cifar10,0.5,0.02,0.7076399999999999,1.07267113697052
resnet18,clean,1,cifar10,0.5,0.05,0.70434,1.0754944202804566
resnet18,clean,1,cifar10,0.5,0.1,0.70088,1.0859706312561035
resnet18,clean,1,cifar10,0.5,0.2,0.62706,1.4392798824691773
resnet18,clean,2,cifar10,0.5,0.0,0.7031,1.085535922050476
resnet18,clean,2,cifar10,0.5,0.01,0.70324,1.083615410003662
resnet18,clean,2,cifar10,0.5,0.02,0.7058,1.0683491124725344
resnet18,clean,2,cifar10,0.5,0.05,0.69926,1.0955631454658508
resnet18,clean,2,cifar10,0.5,0.1,0.67872,1.21403295129776
resnet18,clean,2,cifar10,0.5,0.2,0.65626,1.3077966200637818
resnet18,noisy,0,cifar10,0.5,0.0,0.721,0.814967507648468
resnet18,noisy,0,cifar10,0.5,0.01,0.7205600000000001,0.8157589775657653
resnet18,noisy,0,cifar10,0.5,0.02,0.7207800000000001,0.8159680258750915
resnet18,noisy,0,cifar10,0.5,0.05,0.71912,0.8212092060089111
resnet18,noisy,0,cifar10,0.5,0.1,0.71742,0.8309538256072997
resnet18,noisy,0,cifar10,0.5,0.2,0.69686,0.8934995248126985
resnet18,noisy,1,cifar10,0.5,0.0,0.7189,0.8356435811042786
resnet18,noisy,1,cifar10,0.5,0.01,0.7195400000000001,0.8351036983299256
resnet18,noisy,1,cifar10,0.5,0.02,0.7202200000000001,0.8347850834846497
resnet18,noisy,1,cifar10,0.5,0.05,0.7191,0.8383394267654418
resnet18,noisy,1,cifar10,0.5,0.1,0.71594,0.8476328379058838
resnet18,noisy,1,cifar10,0.5,0.2,0.7114,0.8568539581298829
resnet18,noisy,2,cifar10,0.5,0.0,0.675,1.000218588066101
resnet18,noisy,2,cifar10,0.5,0.01,0.67518,0.9986314303779602
resnet18,noisy,2,cifar10,0.5,0.02,0.67332,1.0055393687057497
resnet18,noisy,2,cifar10,0.5,0.05,0.67318,1.000404889125824
resnet18,noisy,2,cifar10,0.5,0.1,0.6706000000000001,1.0100949625968934
resnet18,noisy,2,cifar10,0.5,0.2,0.6372,1.1344358356666564
